epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
210.409619930,5.599,R,2721934,149720,1420,5058,2,5294964736,5183275008,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
215.410612695,4.599,D,2770507,152506,1444,5150,2,5380800512,5274865664,52477952,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
220.411776830,5.599,D,2832206,155943,1480,5276,2,5500821504,5394227200,52477952,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
225.412726852,5.599,D,2893904,159380,1513,5409,2,5620842496,5513588736,52477952,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
230.413742312,5.799,R,2960003,163065,1553,5537,2,5740900352,5632950272,52477952,1638.07,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
235.417278394,5.596,D,3017298,166254,1586,5654,2,5860884480,5752311808,52477952,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
240.418384400,5.599,D,3078986,169696,1623,5774,2,5963759616,5854621696,52477952,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
245.419222972,5.599,D,3140684,173133,1654,5892,2,6083883008,5973983232,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
250.420144042,5.199,D,3197967,176327,1690,6012,2,6186655744,6076289024,52477952,0.00,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
255.421022011,5.999,D,3264075,180007,1727,6135,2,6323822592,6212698112,52477952,0.00,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
260.421830435,4.799,R,3321106,182963,1755,6259,2,6409551872,6297956352,52477952,4914.41,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
265.422681061,6.199,D,3387451,186891,1789,6382,2,6529572864,6417309696,52477952,2457.18,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
270.423491284,5.799,R,3450780,190329,1820,6498,2,6666633216,6543294464,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
275.424642379,5.599,R,3512348,193766,1853,6612,2,6786654208,6662115328,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
280.425649133,5.999,D,3576947,197450,1886,6729,2,6889738240,6775398400,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
285.426401372,5.799,D,3643053,201130,1924,6847,2,7026802688,6911807488,52477952,3276.31,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
290.427239960,5.599,D,3704751,204567,1957,6957,2,7146823680,7031169024,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
295.428111529,4.999,S,3762037,207761,1983,7084,2,7249698816,7133474816,52477952,1638.11,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
300.428784562,4.799,R,3810534,210464,2016,7190,2,7352573952,7218737152,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
305.429535238,5.199,R,3868059,213654,2050,7308,2,7472488448,7339040768,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
310.430307464,5.399,D,3929491,217095,2087,7436,2,7558324224,7440400384,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
315.431180389,5.599,D,3991189,220532,2126,7567,2,7678345216,7559761920,52477952,3276.23,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
320.432051347,5.799,R,4057087,224007,2161,7691,2,7832551424,7697584128,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
325.432971175,5.599,D,4114584,227406,2195,7813,2,7918489600,7798489088,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
330.433709557,5.799,R,4180684,231091,2225,7952,2,8038510592,7917846528,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
335.434994260,5.998,D,4246781,234776,2263,8056,2,8158429184,8037199872,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
340.435854720,5.599,D,4308484,238213,2298,8170,2,8278450176,8156581888,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
345.436746600,5.799,R,4371871,241651,2335,8289,2,8415617024,8282853376,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
350.437851044,5.599,R,4436187,245245,2367,8416,2,8535638016,8405929984,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
355.439144128,4.999,D,4489167,248281,2401,8523,2,8621371392,8497627136,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
360.440193574,5.199,D,4546452,251475,2428,8641,2,8724246528,8599937024,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
365.441281674,5.999,D,4612553,255160,2459,8769,2,8844267520,8719298560,52477952,4095.11,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
370.442188085,5.599,D,4674247,258597,2492,8882,2,8964288512,8838651904,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
375.443156539,4.799,D,4727131,261543,2517,8997,2,9067163648,8940961792,52477952,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
380.443998177,5.799,R,4793233,265228,2553,9132,2,9187184640,9060323328,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
385.444797605,5.799,D,4854919,268670,2586,9270,2,9290059776,9162625024,52477952,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
390.445614446,5.999,D,4921028,272350,2623,9385,2,9427226624,9299038208,52215808,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
395.446518733,5.999,D,4987127,276035,2654,9522,2,9547247616,9418399744,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
400.447353255,5.599,D,5048825,279472,2684,9659,2,9667268608,9537761280,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
405.448254798,5.999,D,5114932,283152,2718,9773,2,9804435456,9674174464,52215808,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
410.448895745,5.399,R,5176373,286351,2757,9897,2,9907310592,9776480256,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
415.449644355,4.799,R,5229335,289377,2787,10020,2,10027225088,9883381760,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
420.450305530,5.199,D,5282388,292486,2821,10136,2,10113163264,9981104128,52215808,6552.73,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
425.451258888,5.199,D,5339682,295675,2850,10253,2,10233081856,10100461568,52215808,0.00,0.00,241664,184320,32,20,11776000,11542528,8192,8187,
430.452055697,5.199,D,5396966,298869,2882,10374,2,10335956992,10202767360,52215808,0.00,0.00,241664,184320,32,20,11776000,11542528,8192,8187,
435.452978647,5.199,D,5454252,302063,2910,10495,2,10438832128,10305073152,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
440.454130061,5.399,D,5515942,305505,2937,10620,2,10541707264,10407383040,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
445.454996901,5.399,R,5577406,308718,2970,10737,2,10678767616,10526711808,52215808,0.00,0.00,241664,188416,32,20,11776000,11546624,8192,8187,
450.455757141,5.199,S,5634921,312136,3005,10855,2,10764705792,10629042176,52215808,0.00,0.00,241664,184320,32,20,11776000,11542528,8192,8187,
455.456493348,5.799,D,5696618,315573,3037,10956,2,10884624384,10748403712,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
460.457320810,5.599,D,5758308,319015,3070,11060,2,10987499520,10850709504,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
465.458487101,6.199,R,5828685,322815,3110,11187,2,11141705728,10994778112,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
470.459412862,5.599,D,5886105,326137,3148,11302,2,11227643904,11089432576,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
475.460205437,5.199,R,5947554,329331,3184,11407,2,11347562496,11208790016,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
480.461203392,5.799,D,6009487,333016,3221,11534,2,11450437632,11311091712,52215808,819.04,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
485.462256121,5.799,D,6071186,336453,3258,11665,2,11570561024,11430457344,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
490.463144768,5.599,D,6132879,339890,3292,11784,2,11690582016,11549810688,52215808,0.00,0.00,241664,188416,32,20,11776000,11546624,8192,8187,
495.463792178,5.999,R,6203389,343818,3330,11921,2,11827646464,11686223872,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
500.464648729,5.799,D,6265080,347260,3365,12053,2,11930521600,11788529664,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
505.465521306,5.799,R,6331185,350940,3396,12179,2,12067688448,11924942848,52215808,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
510.466435984,5.999,D,6392877,354382,3429,12291,2,12170665984,12027252736,52215808,3276.20,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
515.467415802,5.399,D,6454572,357819,3466,12399,2,12290584576,12146610176,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
520.468476012,4.799,D,6507456,360765,3496,12510,2,12393459712,12248920064,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
525.469283670,6.199,R,6574906,364446,3538,12649,2,12547665920,12390739968,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
