epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
205.355710670,8.599,D,3736381,206280,2005,6854,2,7215403008,7102545920,72278016,6552.60,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
210.356753651,8.398,D,3828921,211438,2053,7029,2,7386861568,7273058304,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
215.357690938,7.799,D,3912658,216100,2095,7185,2,7558320128,7443574784,72278016,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
220.358567215,7.999,R,4005034,221099,2143,7371,2,7746818048,7618543616,72278016,0.00,0.00,241664,188416,32,20,11776000,11546624,8192,8187,
225.359366780,8.399,R,4097492,226173,2191,7506,2,7918014464,7792754688,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
230.360251496,8.399,R,4190080,231365,2240,7680,2,8106881024,7973593088,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
235.361202358,8.398,R,4282836,236727,2290,7846,2,8261300224,8142704640,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
240.361968918,7.999,R,4370733,241394,2331,8003,2,8432762880,8313245696,72278016,819.07,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
245.362735664,8.999,D,4467934,247038,2380,8175,2,8621367296,8500813824,72278016,819.07,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
250.363212693,8.799,D,4564885,252439,2424,8338,2,8809971712,8688377856,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
255.364059142,8.199,R,4654102,257365,2471,8510,2,8947134464,8812187648,72278016,1638.12,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
260.364712729,9.199,R,4756331,263013,2517,8654,2,9135742976,9003405312,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
265.365495640,8.399,R,4848309,268167,2572,8826,2,9324240896,9188540416,72278016,1638.14,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
