epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,
220.219758157,59.193,R,4631253,259941,2633,8879,2,9114157056,8695508992,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
225.221173051,45.987,S,4701628,263921,2697,9098,2,9249673216,8825929728,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
230.221732184,52.794,R,4782412,268479,2753,9284,2,9412308992,8981602304,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
235.222497038,65.190,S,4882145,274131,2816,9472,2,9597353984,9160327168,0,0.00,0.00,241664,184320,32,21,2048000,1986560,256,245,
240.223021467,73.592,R,4994140,280457,2874,9682,2,9816911872,9371385856,0,0.00,0.00,241664,159744,32,20,2048000,1966080,256,244,
245.223614241,53.994,R,5077053,285122,2924,9906,2,9982017536,9528975360,0,0.00,0.00,241664,159744,32,20,2048000,1966080,256,244,
250.224210076,53.594,S,5159382,289787,2983,10112,2,10142294016,9684406272,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
255.225191387,57.989,R,5248109,294812,3040,10312,2,10309971968,9845694464,0,0.00,0.00,241664,172032,32,20,2048000,1978368,256,244,
260.225745294,69.592,R,5354214,300809,3094,10514,2,10512060416,10038714368,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
265.226215187,71.593,R,5464118,307028,3150,10717,2,10726690816,10246451200,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
270.226757216,68.393,R,5568544,312909,3209,10923,2,10931249152,10442436608,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
275.227381462,57.993,R,5657516,317955,3264,11124,2,11103997952,10609315840,0,0.00,0.00,241664,184320,32,21,2048000,1990656,256,245,
280.227995909,62.792,S,5753583,323389,3320,11303,2,11288895488,10787164160,0,0.00,0.00,241664,180224,32,20,2048000,1982464,256,244,
285.229530538,65.180,R,5853332,329030,3382,11502,2,11481227264,10972147712,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
290.230230337,65.991,R,5954276,334703,3441,11690,2,11678494720,11161870336,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
295.231051901,75.588,R,6069989,341263,3495,11884,2,11907813376,11382415360,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
300.231603924,83.191,S,6197293,348454,3556,12088,2,12156862464,11621974016,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
305.232164842,79.991,R,6319504,355327,3606,12295,2,12400975872,11855998976,0,0.00,0.00,241664,163840,32,21,2048000,1974272,256,245,
310.232742714,69.192,R,6425547,361324,3665,12493,2,12607995904,12053565440,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
315.233361870,61.192,S,6519201,366641,3725,12705,2,12785643520,12226711552,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
320.234197013,54.791,S,6603028,371385,3781,12926,2,12946022400,12380835840,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
325.235260922,80.783,S,6726642,378374,3835,13127,2,13185101824,12610859008,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
330.235990563,65.190,S,6826413,384005,3897,13352,2,13382369280,12800610304,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
335.236831003,68.389,S,6931046,389927,3951,13556,2,13582098432,12992692224,0,0.00,0.00,241664,167936,32,21,2048000,1978368,256,245,
340.237438863,69.192,R,7036879,395881,4016,13762,2,13786759168,13189517312,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
345.238020416,79.591,S,7158706,402796,4078,13975,2,14023479296,13417209856,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
350.238577163,76.791,R,7276192,409419,4137,14184,2,14257623040,13640466432,0,0.00,0.00,241664,172032,32,21,2048000,1978368,256,245,
355.239208342,74.791,R,7390243,415873,4200,14385,2,14474612736,13849600000,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
360.239772574,65.193,R,7489746,421528,4258,14596,2,14657294336,14026665984,0,0.00,0.00,241664,192512,32,21,2048000,1994752,256,245,
365.240243340,76.793,R,7607866,428194,4321,14791,2,14891479040,14251945984,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
370.240919048,74.790,R,7722307,434658,4374,15001,2,15115829248,14467743744,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
375.241548357,63.992,R,7820214,440184,4438,15231,2,15308058624,14650720256,0,0.00,0.00,241664,167936,32,20,2048000,1978368,256,244,
380.242300361,59.991,S,7912044,445373,4502,15438,2,15488167936,14825869312,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
385.242954539,61.992,R,8006879,450708,4557,15647,2,15677927424,15006097408,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
390.243484288,77.192,R,8124998,457375,4614,15853,2,15909715968,15229382656,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
395.243866375,77.994,R,8243756,464107,4676,16065,2,16139243520,15451955200,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
400.244333756,73.993,R,8357024,470503,4730,16272,2,16363421696,15665500160,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
405.244774371,73.194,S,8469607,476855,4791,16483,2,16585453568,15881216000,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
410.245521174,68.390,S,8574242,482777,4856,16690,2,16785182720,16073293824,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
415.246081562,73.992,R,8687418,489153,4916,16887,2,17006997504,16284684288,0,0.00,0.00,241664,167936,32,20,2048000,1978368,256,244,
420.246732178,63.992,S,8785378,494707,4971,17102,2,17196974080,16469352448,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
